ARREST_KEY,ARREST_DATE,PD_DESC,KY_CD,OFNS_DESC,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,Latitude,Longitude,Vict Age,Vict Sex,Arrest,City,BlockAddress
261289366,1/3/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,B,47,25-44,M,40.880398,-73.863884,,,TRUE,New York,"710, East 215th Street, Williams Bridge, The Bronx, New York, 10467, United States"
269007186,5/29/2023,"FORGERY-ILLEGAL POSSESSION,VEH",126,MISCELLANEOUS PENAL LAW,Q,114,25-44,M,40.76110089,-73.9399805,,,TRUE,New York,"Niforos Corner, 10-15, 36th Avenue, Ravenswood, Queens, New York, 11106, United States"
263807104,2/17/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,B,40,45-64,M,40.819408,-73.912384,,,TRUE,New York,"Brook Avenue, Melrose, The Bronx, New York, 10455-1201, United States"
269352893,6/5/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,M,13,25-44,F,40.740151,-73.994805,,,TRUE,New York,"Marshalls, 620, 6th Avenue, Chelsea, Manhattan, New York County, New York, 10019, United States"
268352295,5/16/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,Q,103,18-24,M,40.70334171,-73.80020318,,,TRUE,New York,"Wendy's, Jamaica Avenue, Jamaica, Queens, New York, 11208, United States"
269367084,6/6/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,Q,115,25-44,M,40.756585,-73.875603,,,TRUE,New York,"New York City Police Department - 115th Precinct, 92-15, Northern Boulevard, Jackson Heights, Queens, New York, 11369, United States"
266343115,4/7/2023,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,M,13,25-44,M,40.737074,-73.982962,,,TRUE,New York,"224, East 21st Street, Manhattan Community Board 6, Manhattan, New York County, New York, 10010, United States"
265940394,3/31/2023,WEAPONS POSSESSION 3,118,DANGEROUS WEAPONS,K,60,18-24,M,40.58061098,-73.98564317,,,TRUE,New York,"3071, Cropsey Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States"
269539192,6/8/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,Q,109,25-44,F,40.762037,-73.827328,,,TRUE,New York,"37-11, Union Street, Flushing Chinatown, Queens, New York, 11354, United States"
262853852,2/1/2023,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,M,33,25-44,M,40.840775,-73.936253,,,TRUE,New York,"2204, Amsterdam Avenue, Manhattan Community Board 12, Manhattan, New York County, New York, 10032, United States"
265805819,3/28/2023,WEAPONS POSSESSION 3,118,DANGEROUS WEAPONS,K,60,45-64,M,40.5772,-73.990289,,,TRUE,New York,"2845, West 23rd Street, Coney Island, Brooklyn, Kings County, New York, 11224, United States"
261753635,1/11/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,Q,102,25-44,M,40.688953,-73.825502,,,TRUE,New York,"101-40, Lefferts Boulevard, Richmond Hill, Queens, New York, 11419, United States"
268469315,5/18/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,B,48,25-44,F,40.850253,-73.88874,,,TRUE,New York,"2159, Belmont Avenue, East Tremont, The Bronx, New York, 10457, United States"
266147570,4/4/2023,RECKLESS ENDANGERMENT 1,126,MISCELLANEOUS PENAL LAW,M,9,25-44,M,40.729273,-73.98562,,,TRUE,New York,"222, East 10th Street, Manhattan Community Board 3, Manhattan, New York County, New York, 10003, United States"
267788307,5/5/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,B,45,25-44,M,40.867837,-73.831294,,,TRUE,New York,"356, Baychester Avenue, Co-Op City, The Bronx, New York, 10475, United States"
268970064,5/29/2023,RECKLESS ENDANGERMENT 2,355,OFFENSES AGAINST THE PERSON,Q,103,18-24,M,40.699795,-73.807364,,,TRUE,New York,"Jamaica, Sutphin Boulevard, Jamaica, Queens, New York, 11435, United States"
267000417,4/20/2023,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,K,70,25-44,M,40.630736,-73.973423,,,TRUE,New York,"160, Lawrence Avenue, Parkville, Brooklyn, Kings County, New York, 11230, United States"
263387730,2/10/2023,AGGRAVATED CRIMINAL CONTEMPT,126,MISCELLANEOUS PENAL LAW,K,60,25-44,M,40.577258,-73.976436,,,TRUE,New York,"FDNY Battalion 43, Engine 245 & Ladder 161, 2929, West 8th Street, West Brighton, Brooklyn, Kings County, New York, 11224, United States"
270353497,6/24/2023,CRIMINAL MIS 2 & 3,121,CRIMINAL MISCHIEF & RELATED OF,Q,109,45-64,M,40.76394169,-73.8281463,,,TRUE,New York,"Union Street, Flushing Chinatown, Queens, New York, 11355, United States"
261287717,1/3/2023,"CANNABIS POSSESSION, 3",250,CANNABIS RELATED OFFENSES,S,121,25-44,M,40.62156431,-74.16848285,,,TRUE,New York,"Goethals Road North, Staten Island, New York, 10303, United States"
265763710,3/28/2023,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,Q,107,45-64,M,40.729059,-73.811018,,,TRUE,New York,"71-43, Parsons Boulevard, Queens, New York, 11365, United States"
270387890,6/25/2023,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,K,67,18-24,F,40.650378,-73.925859,,,TRUE,New York,"5410, Snyder Avenue, East Flatbush, Brooklyn Community District 17, Brooklyn, Kings County, New York, 11203, United States"
267184339,4/24/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,K,71,25-44,U,40.665018,-73.957111,,,TRUE,New York,"TD Bank, 1715, Bedford Avenue, Brooklyn, Kings County, New York, 11225, United States"
265068246,3/14/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,K,94,25-44,M,40.726956,-73.953115,,,TRUE,New York,"96, Meserole Avenue, Greenpoint, Brooklyn, Kings County, New York, 11222, United States"
262036471,1/17/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,B,52,45-64,F,40.862158,-73.890743,,,TRUE,New York,"Webster Avenue & East Fordham Avenue, Webster Avenue, Fordham, The Bronx, New York, 10470, United States"
262047600,1/17/2023,"NY STATE LAWS,UNCLASSIFIED FEL",125,NYS LAWS-UNCLASSIFIED FELONY,K,67,25-44,F,40.644942,-73.92145,,,TRUE,New York,"Footprints Café, 5814, Clarendon Road, Brooklyn Community District 17, Brooklyn, Kings County, New York, 11203, United States"
264858878,3/10/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,K,75,18-24,F,40.671404,-73.881509,,,TRUE,New York,"1000, Sutter Avenue, East New York, Brooklyn, Kings County, New York, 11208, United States"
264226147,2/25/2023,"IMPERSONATION 2, PUBLIC SERVAN",340,FRAUDS,M,19,45-64,M,40.766896,-73.96373,,,TRUE,New York,"157, East 67th Street, Manhattan Community Board 8, Manhattan, New York County, New York, 10065, United States"
266086764,4/3/2023,CRIMINAL CONTEMPT 1,126,MISCELLANEOUS PENAL LAW,Q,103,45-64,M,40.703546,-73.799675,,,TRUE,New York,"159-17, Jamaica Avenue, Jamaica, Queens, New York, 11432, United States"
261508381,1/6/2023,"NY STATE LAWS,UNCLASSIFIED FEL",125,NYS LAWS-UNCLASSIFIED FELONY,K,71,18-24,M,40.661072,-73.946733,,,TRUE,New York,"421, Maple Street, Crown Heights, Brooklyn, Kings County, New York, 11225, United States"
264546697,3/4/2023,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,K,72,25-44,M,40.657949,-74.000634,,,TRUE,New York,"825, 4th Avenue, Sunset Park, Brooklyn, Kings County, New York, 11232, United States"
270316405,6/23/2023,"IMPERSONATION 2, PUBLIC SERVAN",340,FRAUDS,K,71,25-44,U,40.66095344,-73.96068024,,,TRUE,New York,"Papa & Son, 1141, Washington Avenue, Brooklyn, Kings County, New York, 11225, United States"
270226544,6/22/2023,"CONTROLLED SUBSTANCE,INTENT TO",117,DANGEROUS DRUGS,K,70,65+,M,40.654944,-73.957999,,,TRUE,New York,"49, Clarkson Avenue, Flatbush, Brooklyn, Kings County, New York, 11226, United States"
270265044,6/22/2023,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,M,9,25-44,M,40.721581,-73.977567,,,TRUE,New York,"53, Avenue D, East Village, Manhattan, New York County, New York, 10009, United States"
268492158,5/19/2023,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",351,CRIMINAL MISCHIEF & RELATED OF,M,14,18-24,F,40.752001,-73.977392,,,TRUE,New York,"East 42nd Street & Vanderbilt Avenue, East 42nd Street, Manhattan Community Board 5, Manhattan, New York County, New York, 10017, United States"
265357445,3/20/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,Q,114,18-24,F,40.76912442,-73.93131602,,,TRUE,New York,"12-037, 30th Drive, Astoria, Queens, New York, 11102, United States"
262242087,1/20/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,S,122,45-64,M,40.60587514,-74.09040514,,,TRUE,New York,"501, Oder Avenue, Grasmere, Staten Island, New York, 10304, United States"
263579856,2/14/2023,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,K,81,18-24,M,40.6788,-73.920349,,,TRUE,New York,"1905, Fulton Street, Ocean Hill, Brooklyn, Kings County, New York, 11233, United States"
268358724,5/17/2023,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,Q,114,18-24,M,40.759497,-73.931422,,,TRUE,New York,"25-18, 35th Avenue, Ravenswood, Queens, New York, 11106, United States"
270312505,6/23/2023,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,Q,110,25-44,M,40.741782,-73.856398,,,TRUE,New York,"104-08, 53rd Avenue, Corona, Queens, New York, 11368, United States"
261249582,1/2/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,B,40,25-44,M,40.815318,-73.915863,,,TRUE,New York,"Triangle Plaza Hub, 459, East 149th Street, Mott Haven, The Bronx, New York, 10455, United States"
269145825,6/1/2023,CRIMINAL CONTEMPT 1,126,MISCELLANEOUS PENAL LAW,K,69,45-64,M,40.648698,-73.905128,,,TRUE,New York,"9720, Foster Avenue, Canarsie, Brooklyn, Kings County, New York, 11236, United States"
266150189,4/4/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,S,121,18-24,M,40.623238,-74.149217,,,TRUE,New York,"121st Precinct, 970, Richmond Avenue, Graniteville, Staten Island, New York, 10314, United States"
267464663,4/29/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,Q,107,18-24,M,40.73011307,-73.81090891,,,TRUE,New York,"107th Precinct New York City Police Department, Parsons Boulevard, Queens, New York, 11432, United States"
261926085,1/14/2023,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,M,9,25-44,M,40.728473,-73.984645,,,TRUE,New York,"156, 1st Avenue, Manhattan Community Board 3, Manhattan, New York County, New York, 10009, United States"
263075313,2/5/2023,"CHILD, ENDANGERING WELFARE",233,SEX CRIMES,M,25,25-44,M,40.80093037,-73.94109824,,,TRUE,New York,"NYPD 25th Precinct, 120, East 119th Street, Manhattan Community Board 11, Manhattan, New York County, New York, 10035, United States"
267764351,5/5/2023,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,K,67,25-44,M,40.644985,-73.95136,,,TRUE,New York,"2714A, Beverley Road, Brooklyn Community District 17, Brooklyn, Kings County, New York, 11226, United States"
263413500,2/11/2023,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,B,45,45-64,F,40.83425213,-73.82907049,,,TRUE,New York,"2901, Haskin Street, Schuylerville, The Bronx, New York, 10461, United States"
265294552,3/18/2023,CRIMINAL CONTEMPT 1,126,MISCELLANEOUS PENAL LAW,Q,113,45-64,M,40.680077,-73.775929,,,TRUE,New York,"167-02, Baisley Boulevard, Rochdale Village, Queens, New York, 11434, United States"
262937405,2/2/2023,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,B,47,25-44,M,40.88015921,-73.84806787,,,TRUE,New York,"Eastchester Avenue & Needham Avenue, Needham Avenue, Eastchester Heights, The Bronx, New York, 10469, United States"
269944192,6/16/2023,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,K,68,25-44,M,40.638659,-74.022462,,,TRUE,New York,"333, 65th Street, Sunset Park, Brooklyn, Kings County, New York, 11220, United States"
266840483,4/18/2023,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,K,60,18-24,F,40.575561,-73.980931,,,TRUE,New York,"Surf Avenue & Stillwell Avenue, Surf Avenue, West Brighton, Brooklyn, Kings County, New York, 1224, United States"
265656457,3/25/2023,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER OFFENSES RELATED TO THEF,B,40,45-64,M,40.80755382,-73.91921496,,,TRUE,New York,"Brook Avenue, East 138th Street, Mott Haven, The Bronx, New York, 10454, United States"
262223844,1/20/2023,"CONTEMPT,CRIMINAL",359,OFFENSES AGAINST PUBLIC ADMINI,S,120,25-44,M,40.644996,-74.077263,,,TRUE,New York,"Richmond Terrace, Saint George, Staten Island, New York, 10302, United States"
265891001,3/30/2023,"NY STATE LAWS,UNCLASSIFIED FEL",125,NYS LAWS-UNCLASSIFIED FELONY,B,43,45-64,M,40.82866041,-73.87823474,,,TRUE,New York,"Elder Avenue, Boynton Avenue, West Farms, The Bronx, New York, 10473, United States"
265313951,3/18/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,M,17,45-64,M,40.749628,-73.973814,,,TRUE,New York,"222, East 41st Street, Manhattan Community Board 6, Manhattan, New York County, New York, 10017, United States"
262464401,1/25/2023,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,Q,102,45-64,M,40.69843,-73.831128,,,TRUE,New York,"87-47, 118th Street, Richmond Hill, Queens, New York, 11418, United States"
265414752,3/21/2023,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER OFFENSES RELATED TO THEF,B,47,45-64,M,40.87739338,-73.86649088,,,TRUE,New York,"Gun Hill Road, White Plains Road, Williams Bridge, The Bronx, New York, 10470, United States"
264795321,3/9/2023,"PUBLIC ADMINISTATION,UNCLASS M",359,OFFENSES AGAINST PUBLIC ADMINI,Q,112,<18,M,40.732847,-73.863882,,,TRUE,New York,"Subway, 61-01, Junction Boulevard, Queens, New York, 11374, United States"
264292870,2/27/2023,"HOMICIDE,NEGLIGENT,UNCLASSIFIE",103,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",B,40,45-64,M,40.810391,-73.924895,,,TRUE,New York,"261, Alexander Avenue, The Bronx, New York, 10454, United States"
270303675,6/23/2023,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,B,40,18-24,M,40.81630661,-73.90804814,,,TRUE,New York,"Jackson Avenue, The Bronx, New York, 10455, United States"
264444596,3/2/2023,"FORGERY,ETC.,UNCLASSIFIED-FELO",113,FORGERY,Q,103,45-64,M,40.70545957,-73.7948949,,,TRUE,New York,"Bank of America, 164-22, Jamaica Avenue, Jamaica, Queens, New York, 11432, United States"
264647549,3/6/2023,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,Q,105,45-64,F,40.68011759,-73.75323687,,,TRUE,New York,"Merrick Boulevard, Springfield Gardens, Queens, New York, 11422, United States"
264449834,3/2/2023,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,K,70,45-64,M,40.630736,-73.973423,,,TRUE,New York,"160, Lawrence Avenue, Parkville, Brooklyn, Kings County, New York, 11230, United States"
265167745,3/15/2023,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,M,32,<18,M,40.813782,-73.94009,,,TRUE,New York,"A.M.E. Metropolitan Church, 58, West 135th Street, Harlem, Manhattan, New York County, New York, 10037, United States"
263575294,2/14/2023,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER OFFENSES RELATED TO THEF,B,47,25-44,M,40.87739338,-73.86649088,,,TRUE,New York,"Gun Hill Road, White Plains Road, Williams Bridge, The Bronx, New York, 10470, United States"
262777819,1/31/2023,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,K,62,25-44,M,40.600127,-74.008331,,,TRUE,New York,"1337, Shore Parkway, Bath Beach, Brooklyn, Kings County, New York, 11214, United States"
264665911,3/7/2023,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,B,41,18-24,M,40.825463,-73.89294,,,TRUE,New York,"1086, Simpson Street, Charlotte Gardens, The Bronx, New York, 10459, United States"
266024456,4/1/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,B,52,45-64,F,40.86333,-73.896468,,,TRUE,New York,"U.S. Military Recruiting Station, Grand Concourse, Fordham, The Bronx, New York, 10468, United States"
261922624,1/14/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,K,79,25-44,M,40.688736,-73.944984,,,TRUE,New York,"New York City Police Department - 79th Precinct, 263, Tompkins Avenue, Bedford-Stuyvesant, Brooklyn, Kings County, New York, 11216, United States"
264672116,3/7/2023,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,B,47,25-44,F,40.887325,-73.847247,,,TRUE,New York,"4111, Laconia Avenue, The Bronx, New York, 10466, United States"
261482923,1/6/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,M,18,25-44,M,40.76539,-73.985702,,,TRUE,New York,"NYCT Rail Control Center, West 54th Street, Hell's Kitchen, Manhattan Community Board 4, Manhattan, New York County, New York, 10019, United States"
267991042,5/9/2023,RECKLESS ENDANGERMENT 2,355,OFFENSES AGAINST THE PERSON,B,44,18-24,M,40.84483348,-73.90937492,,,TRUE,New York,"1711, Morris Avenue, Tremont, The Bronx, New York, 10457, United States"
262837963,2/1/2023,"CONTROLLED SUBSTANCE,SALE 2",117,DANGEROUS DRUGS,M,26,25-44,M,40.81126605,-73.95780983,,,TRUE,New York,"Max Soha, 1274, Amsterdam Avenue, Manhattan Community Board 9, Manhattan, New York County, New York, 10027, United States"
267714570,5/4/2023,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER OFFENSES RELATED TO THEF,M,24,25-44,M,40.794651,-73.97178272,,,TRUE,New York,"96th Street, West 96th Street, Manhattan Community Board 7, Manhattan, New York County, New York, 10025, United States"
261960392,1/15/2023,STRANGULATION 1ST,106,FELONY ASSAULT,B,42,25-44,M,40.822355,-73.911463,,,TRUE,New York,"830, Washington Avenue, Melrose, The Bronx, New York, 10451, United States"
269342302,6/5/2023,"CONTROLLED SUBSTANCE,INTENT TO",117,DANGEROUS DRUGS,B,42,18-24,M,40.83273354,-73.89801202,,,TRUE,New York,"1384, Boston Road, Charlotte Gardens, The Bronx, New York, 10456, United States"
261397369,1/5/2023,"STOLEN PROPERTY 3,POSSESSION",232,POSSESSION OF STOLEN PROPERTY,Q,109,25-44,M,40.762037,-73.827328,,,TRUE,New York,"37-11, Union Street, Flushing Chinatown, Queens, New York, 11354, United States"
267253961,4/25/2023,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,B,47,18-24,F,40.887325,-73.847247,,,TRUE,New York,"4111, Laconia Avenue, The Bronx, New York, 10466, United States"
262925914,2/2/2023,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,Q,105,25-44,F,40.726284,-73.73476,,,TRUE,New York,"92-09, 222nd Street, Queens Village, Queens, New York, 11428, United States"
264132919,2/23/2023,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,Q,113,45-64,F,40.69741179,-73.76606186,,,TRUE,New York,"188-01, Murdock Avenue, Saint Albans, Queens, New York, 11412, United States"
263392869,2/10/2023,"LEWDNESS,PUBLIC",361,OFF. AGNST PUB ORD SENSBLTY &,B,42,25-44,M,40.825581,-73.909065,,,TRUE,New York,"501, East 164th Street, Melrose, The Bronx, New York, 10456, United States"
270039284,6/18/2023,RECKLESS ENDANGERMENT 1,126,MISCELLANEOUS PENAL LAW,B,42,45-64,M,40.83380093,-73.88322309,,,TRUE,New York,"East 173rd Street, West Farms, The Bronx, New York, 10460, United States"
265512343,3/22/2023,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,K,75,25-44,F,40.671404,-73.881509,,,TRUE,New York,"1000, Sutter Avenue, East New York, Brooklyn, Kings County, New York, 11208, United States"
266468830,4/10/2023,"CHILD, ENDANGERING WELFARE",233,SEX CRIMES,Q,103,18-24,M,40.70723982,-73.79272673,,,TRUE,New York,"168-02, 91st Avenue, Hillside, Queens, New York, 11432, United States"
263940811,2/20/2023,"CONTEMPT,CRIMINAL",359,OFFENSES AGAINST PUBLIC ADMINI,M,33,25-44,M,40.840775,-73.936253,,,TRUE,New York,"2204, Amsterdam Avenue, Manhattan Community Board 12, Manhattan, New York County, New York, 10032, United States"
268334564,5/16/2023,"CONTROLLED SUBSTANCE,SALE 3",117,DANGEROUS DRUGS,M,5,25-44,F,40.716337,-74.001251,,,TRUE,New York,"Manhattan Civil Courthouse, 111, Centre Street, Lower Manhattan, Chinatown, Manhattan, New York County, New York, 10013, United States"
263793532,2/17/2023,"IMPERSONATION 2, PUBLIC SERVAN",340,FRAUDS,M,13,45-64,M,40.737074,-73.982962,,,TRUE,New York,"224, East 21st Street, Manhattan Community Board 6, Manhattan, New York County, New York, 10010, United States"
262759542,1/31/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,M,32,25-44,M,40.819072,-73.942811,,,TRUE,New York,"216, West 140th Street, Harlem, Manhattan, New York County, New York, 10030, United States"
264992107,3/12/2023,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,B,40,25-44,M,40.81569841,-73.9167701,,,TRUE,New York,"420, East 149th Street, Mott Haven, The Bronx, New York, 10455, United States"
265304965,3/18/2023,BAIL JUMPING 3,359,OFFENSES AGAINST PUBLIC ADMINI,Q,102,25-44,M,40.712206,-73.825952,,,TRUE,New York,"125-01, Queens Boulevard, Kew Gardens, Queens, New York, 11415, United States"
269659234,6/11/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,K,72,25-44,M,40.64486343,-74.01746963,,,TRUE,New York,"Sunset Park, Brooklyn, Kings County, New York, 11220, United States"
265152802,3/15/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,B,47,25-44,M,40.887325,-73.847247,,,TRUE,New York,"4111, Laconia Avenue, The Bronx, New York, 10466, United States"
