ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
262853852,2023-02-01,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601504,F,M,33,0,25-44,M,WHITE HISPANIC,1001888,245600,40.840775,-73.936253,POINT (-73.936253 40.840775)
265805819,2023-03-28,793.0,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,PL 2650201,F,K,60,2,45-64,M,BLACK,986947,149565,40.5772,-73.990289,POINT (-73.990289 40.5772)
261753635,2023-01-11,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,102,0,25-44,M,ASIAN / PACIFIC ISLANDER,1032642,190328,40.688953,-73.825502,POINT (-73.825502 40.688953)
268469315,2023-05-18,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,48,0,25-44,F,BLACK,1015030,249067,40.850253,-73.88874,POINT (-73.88874 40.850253)
266147570,2023-04-04,117.0,RECKLESS ENDANGERMENT 1,126.0,MISCELLANEOUS PENAL LAW,PL 1202500,F,M,9,0,25-44,M,UNKNOWN,988235,204970,40.729273,-73.98562,POINT (-73.98562 40.729273)
267788307,2023-05-05,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,B,45,0,25-44,M,BLACK,1030911,255499,40.867837,-73.831294,POINT (-73.831294 40.867837)
268970064,2023-05-29,115.0,RECKLESS ENDANGERMENT 2,355.0,OFFENSES AGAINST THE PERSON,PL 1202000,M,Q,103,17,18-24,M,WHITE,1037664,194289,40.699795,-73.807364,POINT (-73.807364 40.699795)
267000417,2023-04-20,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,70,0,25-44,M,BLACK,991626,169071,40.630736,-73.973423,POINT (-73.973423 40.630736)
263387730,2023-02-10,199.0,AGGRAVATED CRIMINAL CONTEMPT,126.0,MISCELLANEOUS PENAL LAW,PL 2155202,F,K,60,0,25-44,M,BLACK,990796,149587,40.577258,-73.976436,POINT (-73.976436 40.577258)
270353497,2023-06-24,268.0,CRIMINAL MIS 2 & 3,121.0,CRIMINAL MISCHIEF & RELATED OF,PL 1450502,F,Q,109,0,45-64,M,WHITE HISPANIC,1031856,217648,40.76394169,-73.8281463,POINT (-73.8281463 40.76394169)
261287717,2023-01-03,578.0,"CANNABIS POSSESSION, 3",250.0,CANNABIS RELATED OFFENSES,PL 2223001,M,S,121,0,25-44,M,BLACK,937478,165774,40.62156431,-74.16848285,POINT (-74.16848285 40.62156431)
265763710,2023-03-28,639.0,AGGRAVATED HARASSMENT 2,361.0,OFF. AGNST PUB ORD SENSBLTY &,PL 2403002,M,Q,107,0,45-64,M,BLACK,1036628,204948,40.729059,-73.811018,POINT (-73.811018 40.729059)
270387890,2023-06-25,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 160102A,F,K,67,0,18-24,F,BLACK,1004823,176235,40.650378,-73.925859,POINT (-73.925859 40.650378)
267184339,2023-04-24,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,K,71,0,25-44,U,UNKNOWN,996148,181563,40.665018,-73.957111,POINT (-73.957111 40.665018)
265068246,2023-03-14,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,K,94,0,25-44,M,WHITE HISPANIC,997245,204129,40.726956,-73.953115,POINT (-73.953115 40.726956)
262036471,2023-01-17,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,B,52,0,45-64,F,WHITE,1014471,253403,40.862158,-73.890743,POINT (-73.890743 40.862158)
262047600,2023-01-17,847.0,"NY STATE LAWS,UNCLASSIFIED FEL",125.0,NYS LAWS-UNCLASSIFIED FELONY,VTL05110E1,F,K,67,0,25-44,F,BLACK,1006048,174255,40.644942,-73.92145,POINT (-73.92145 40.644942)
264858878,2023-03-10,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200502,F,K,75,0,18-24,F,BLACK,1017119,183909,40.671404,-73.881509,POINT (-73.881509 40.671404)
264226147,2023-02-25,707.0,"IMPERSONATION 2, PUBLIC SERVAN",340.0,FRAUDS,PL 1902300,M,M,19,0,45-64,M,BLACK,994296,218679,40.766896,-73.96373,POINT (-73.96373 40.766896)
266086764,2023-04-03,198.0,CRIMINAL CONTEMPT 1,126.0,MISCELLANEOUS PENAL LAW,PL 21551B5,F,Q,103,0,45-64,M,BLACK HISPANIC,1039793,195660,40.703546,-73.799675,POINT (-73.799675 40.703546)
261508381,2023-01-06,847.0,"NY STATE LAWS,UNCLASSIFIED FEL",125.0,NYS LAWS-UNCLASSIFIED FELONY,VTL05110E1,F,K,71,0,18-24,M,BLACK,999028,180127,40.661072,-73.946733,POINT (-73.946733 40.661072)
264546697,2023-03-04,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,K,72,0,25-44,M,BLACK,984074,178984,40.657949,-74.000634,POINT (-74.000634 40.657949)
270316405,2023-06-23,707.0,"IMPERSONATION 2, PUBLIC SERVAN",340.0,FRAUDS,PL 1902300,M,K,71,0,25-44,U,UNKNOWN,995159,180082,40.66095344,-73.96068024,POINT (-73.96068024 40.66095344)
270226544,2023-06-22,503.0,"CONTROLLED SUBSTANCE,INTENT TO",117.0,DANGEROUS DRUGS,PL 2201601,F,K,70,0,65+,M,BLACK,995904,177892,40.654944,-73.957999,POINT (-73.957999 40.654944)
270265044,2023-06-22,114.0,OBSTR BREATH/CIRCUL,344.0,ASSAULT 3 & RELATED OFFENSES,PL 121110A,M,M,9,2,25-44,M,BLACK HISPANIC,990468,202168,40.721581,-73.977567,POINT (-73.977567 40.721581)
268492158,2023-05-19,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",351.0,CRIMINAL MISCHIEF & RELATED OF,PL 1450001,M,M,14,17,18-24,F,WHITE HISPANIC,990513,213251,40.752001,-73.977392,POINT (-73.977392 40.752001)
265357445,2023-03-20,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,114,0,18-24,F,WHITE HISPANIC,1003275,219497,40.76912442,-73.93131602,POINT (-73.93131602 40.76912442)
262242087,2023-01-20,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,S,122,0,45-64,M,WHITE HISPANIC,959147,160026,40.60587514,-74.09040514,POINT (-74.09040514 40.60587514)
263579856,2023-02-14,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,K,81,0,18-24,M,BLACK,1006342,186591,40.6788,-73.920349,POINT (-73.920349 40.6788)
268358724,2023-05-17,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,114,0,18-24,M,ASIAN / PACIFIC ISLANDER,1003248,215989,40.759497,-73.931422,POINT (-73.931422 40.759497)
270312505,2023-06-23,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,Q,110,0,25-44,M,WHITE HISPANIC,1024043,209560,40.741782,-73.856398,POINT (-73.856398 40.741782)
261249582,2023-01-02,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,B,40,0,25-44,M,BLACK,1007539,236330,40.815318,-73.915863,POINT (-73.915863 40.815318)
269145825,2023-06-01,198.0,CRIMINAL CONTEMPT 1,126.0,MISCELLANEOUS PENAL LAW,PL 21551B5,F,K,69,0,45-64,M,BLACK,1010576,175628,40.648698,-73.905128,POINT (-73.905128 40.648698)
266150189,2023-04-04,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1201001,F,S,121,0,18-24,M,BLACK HISPANIC,942827,166373,40.623238,-74.149217,POINT (-74.149217 40.623238)
267464663,2023-04-29,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,107,1,18-24,M,BLACK HISPANIC,1036658,205330,40.7301130668694,-73.8109089148815,POINT (-73.8109089148815 40.7301130668694)
261926085,2023-01-14,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,9,0,25-44,M,WHITE,988505,204679,40.728473,-73.984645,POINT (-73.984645 40.728473)
263075313,2023-02-05,681.0,"CHILD, ENDANGERING WELFARE",233.0,SEX CRIMES,PL 2601001,M,M,25,0,25-44,M,WHITE HISPANIC,1000558,231080,40.8009303727402,-73.9410982410066,POINT (-73.9410982410066 40.8009303727402)
267764351,2023-05-05,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,67,0,25-44,M,BLACK,997748,174265,40.644985,-73.95136,POINT (-73.95136 40.644985)
263413500,2023-02-11,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL1192U2S,M,B,45,0,45-64,F,WHITE HISPANIC,1031550,243264,40.83425213,-73.82907049,POINT (-73.82907049 40.83425213)
265294552,2023-03-18,198.0,CRIMINAL CONTEMPT 1,126.0,MISCELLANEOUS PENAL LAW,PL 21551B2,F,Q,113,0,45-64,M,BLACK,1046399,187126,40.680077,-73.775929,POINT (-73.775929 40.680077)
262937405,2023-02-02,705.0,"FORGERY,ETC.-MISD.",358.0,OFFENSES INVOLVING FRAUD,PL 1702000,M,B,47,0,25-44,M,BLACK,1026264,259980,40.88015921,-73.84806787,POINT (-73.84806787 40.88015921)
269944192,2023-06-16,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,K,68,0,25-44,M,WHITE,978015,171958,40.638659,-74.022462,POINT (-74.022462 40.638659)
266840483,2023-04-18,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,K,60,0,18-24,F,WHITE HISPANIC,989547,148969,40.575561,-73.980931,POINT (-73.980931 40.575561)
265656457,2023-03-25,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,40,1,45-64,M,WHITE HISPANIC,1006614,233501,40.80755382,-73.91921496,POINT (-73.91921496 40.80755382)
262223844,2023-01-20,748.0,"CONTEMPT,CRIMINAL",359.0,OFFENSES AGAINST PUBLIC ADMINI,PL 2155006,M,S,120,0,25-44,M,BLACK,962808,174275,40.644996,-74.077263,POINT (-74.077263 40.644996)
265891001,2023-03-30,847.0,"NY STATE LAWS,UNCLASSIFIED FEL",125.0,NYS LAWS-UNCLASSIFIED FELONY,VTL05110FE,F,B,43,0,45-64,M,WHITE HISPANIC,1017948,241204,40.82866041,-73.87823474,POINT (-73.87823474 40.82866041)
265313951,2023-03-18,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,17,0,45-64,M,BLACK,991505,212387,40.749628,-73.973814,POINT (-73.973814 40.749628)
262464401,2023-01-25,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,Q,102,0,45-64,M,WHITE,1031076,193778,40.69843,-73.831128,POINT (-73.831128 40.69843)
265414752,2023-03-21,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,47,1,45-64,M,WHITE HISPANIC,1021171,258964,40.87739338,-73.86649088,POINT (-73.86649088 40.87739338)
264795321,2023-03-09,759.0,"PUBLIC ADMINISTATION,UNCLASS M",359.0,OFFENSES AGAINST PUBLIC ADMINI,PL 1950500,M,Q,112,0,<18,M,BLACK,1021974,206301,40.732847,-73.863882,POINT (-73.863882 40.732847)
264292870,2023-02-27,125.0,"HOMICIDE,NEGLIGENT,UNCLASSIFIE",103.0,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",PL 1251000,F,B,40,0,45-64,M,BLACK,1005040,234533,40.810391,-73.924895,POINT (-73.924895 40.810391)
270303675,2023-06-23,792.0,CRIMINAL POSSESSION WEAPON,118.0,DANGEROUS WEAPONS,PL 265031B,F,B,40,1,18-24,M,BLACK HISPANIC,1009702,236693,40.81630661,-73.90804814,POINT (-73.90804814 40.81630661)
264444596,2023-03-02,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",113.0,FORGERY,PL 1657200,F,Q,103,0,45-64,M,BLACK,1041117,196361,40.70545957,-73.7948949,POINT (-73.7948949 40.70545957)
264647549,2023-03-06,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0512000,M,Q,105,0,45-64,F,BLACK,1052693,187158,40.68011759,-73.75323687,POINT (-73.75323687 40.68011759)
264449834,2023-03-02,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553501,F,K,70,0,45-64,M,BLACK,991626,169071,40.630736,-73.973423,POINT (-73.973423 40.630736)
265167745,2023-03-15,792.0,CRIMINAL POSSESSION WEAPON,118.0,DANGEROUS WEAPONS,PL 265031B,F,M,32,0,<18,M,BLACK,1000833,235765,40.813782,-73.94009,POINT (-73.94009 40.813782)
263575294,2023-02-14,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,47,1,25-44,M,BLACK,1021171,258964,40.87739338,-73.86649088,POINT (-73.86649088 40.87739338)
262777819,2023-01-31,114.0,OBSTR BREATH/CIRCUL,344.0,ASSAULT 3 & RELATED OFFENSES,PL 121110A,M,K,62,0,25-44,M,ASIAN / PACIFIC ISLANDER,981936,157918,40.600127,-74.008331,POINT (-74.008331 40.600127)
264665911,2023-03-07,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601504,F,B,41,0,18-24,M,BLACK HISPANIC,1013879,240033,40.825463,-73.89294,POINT (-73.89294 40.825463)
266024456,2023-04-01,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,B,52,0,45-64,F,BLACK HISPANIC,1012886,253829,40.86333,-73.896468,POINT (-73.896468 40.86333)
261922624,2023-01-14,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,K,79,0,25-44,M,BLACK,999507,190206,40.688736,-73.944984,POINT (-73.944984 40.688736)
264672116,2023-03-07,113.0,"MENACING,UNCLASSIFIED",344.0,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,B,47,0,25-44,F,BLACK HISPANIC,1026486,262591,40.887325,-73.847247,POINT (-73.847247 40.887325)
261482923,2023-01-06,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200502,F,M,18,0,25-44,M,WHITE HISPANIC,988210,218129,40.76539,-73.985702,POINT (-73.985702 40.76539)
267991042,2023-05-09,115.0,RECKLESS ENDANGERMENT 2,355.0,OFFENSES AGAINST THE PERSON,PL 1202000,M,B,44,0,18-24,M,WHITE HISPANIC,1009324,247086,40.84483348,-73.90937492,POINT (-73.90937492 40.84483348)
262837963,2023-02-01,514.0,"CONTROLLED SUBSTANCE,SALE 2",117.0,DANGEROUS DRUGS,PL 2204101,F,M,26,0,25-44,M,BLACK,995929,234846,40.81126605,-73.95780983,POINT (-73.95780983 40.81126605)
267714570,2023-05-04,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,M,24,1,25-44,M,BLACK,992063,228791,40.794651,-73.97178272,POINT (-73.97178272 40.794651)
261960392,2023-01-15,105.0,STRANGULATION 1ST,106.0,FELONY ASSAULT,PL 1211200,F,B,42,0,25-44,M,BLACK,1008754,238895,40.822355,-73.911463,POINT (-73.911463 40.822355)
269342302,2023-06-05,503.0,"CONTROLLED SUBSTANCE,INTENT TO",117.0,DANGEROUS DRUGS,PL 2201601,F,B,42,0,18-24,M,BLACK,1012473,242681,40.83273354,-73.89801202,POINT (-73.89801202 40.83273354)
261397369,2023-01-05,490.0,"STOLEN PROPERTY 3,POSSESSION",232.0,POSSESSION OF STOLEN PROPERTY,PL 1654000,M,Q,109,0,25-44,M,WHITE HISPANIC,1032084,216954,40.762037,-73.827328,POINT (-73.827328 40.762037)
267253961,2023-04-25,639.0,AGGRAVATED HARASSMENT 2,361.0,OFF. AGNST PUB ORD SENSBLTY &,PL 2403002,M,B,47,0,18-24,F,BLACK,1026486,262591,40.887325,-73.847247,POINT (-73.847247 40.887325)
262925914,2023-02-02,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 160102B,F,Q,105,0,25-44,F,BLACK,1057766,203992,40.726284,-73.73476,POINT (-73.73476 40.726284)
264132919,2023-02-23,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL05110MU,M,Q,113,0,45-64,F,BLACK,1049119,193449,40.69741179,-73.76606186,POINT (-73.76606186 40.69741179)
263392869,2023-02-10,661.0,"LEWDNESS,PUBLIC",361.0,OFF. AGNST PUB ORD SENSBLTY &,PL 2450000,M,B,42,0,25-44,M,BLACK,1009417,240071,40.825581,-73.909065,POINT (-73.909065 40.825581)
270039284,2023-06-18,117.0,RECKLESS ENDANGERMENT 1,126.0,MISCELLANEOUS PENAL LAW,PL 1202500,F,B,42,0,45-64,M,WHITE HISPANIC,1016565,243075,40.83380093,-73.88322309,POINT (-73.88322309 40.83380093)
265512343,2023-03-22,639.0,AGGRAVATED HARASSMENT 2,361.0,OFF. AGNST PUB ORD SENSBLTY &,PL 2403002,M,K,75,0,25-44,F,BLACK,1017119,183909,40.671404,-73.881509,POINT (-73.881509 40.671404)
266468830,2023-04-10,681.0,"CHILD, ENDANGERING WELFARE",233.0,SEX CRIMES,PL 2601001,M,Q,103,0,18-24,M,BLACK,1041717,197008,40.7072398161698,-73.7927267255908,POINT (-73.7927267255908 40.7072398161698)
263940811,2023-02-20,748.0,"CONTEMPT,CRIMINAL",359.0,OFFENSES AGAINST PUBLIC ADMINI,PL 2155003,M,M,33,0,25-44,M,WHITE,1001888,245600,40.840775,-73.936253,POINT (-73.936253 40.840775)
268334564,2023-05-16,515.0,"CONTROLLED SUBSTANCE,SALE 3",117.0,DANGEROUS DRUGS,PL 2203901,F,M,5,0,25-44,F,WHITE HISPANIC,983903,200257,40.716337,-74.001251,POINT (-74.001251 40.716337)
263793532,2023-02-17,707.0,"IMPERSONATION 2, PUBLIC SERVAN",340.0,FRAUDS,PL 1902501,M,M,13,0,45-64,M,BLACK,988971,207813,40.737074,-73.982962,POINT (-73.982962 40.737074)
262759542,2023-01-31,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200501,F,M,32,0,25-44,M,BLACK,1000078,237692,40.819072,-73.942811,POINT (-73.942811 40.819072)
264992107,2023-03-12,511.0,"CONTROLLED SUBSTANCE, POSSESSI",235.0,DANGEROUS DRUGS,PL 2200300,M,B,40,2,25-44,M,WHITE HISPANIC,1007288,236469,40.81569841,-73.9167701,POINT (-73.9167701 40.81569841)
265304965,2023-03-18,744.0,BAIL JUMPING 3,359.0,OFFENSES AGAINST PUBLIC ADMINI,PL 2155500,M,Q,102,0,25-44,M,WHITE,1032501,198800,40.712206,-73.825952,POINT (-73.825952 40.712206)
269659234,2023-06-11,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200501,F,K,72,0,25-44,M,WHITE HISPANIC,979402,174218,40.64486343,-74.01746963,POINT (-74.01746963 40.64486343)
265152802,2023-03-15,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,47,0,25-44,M,BLACK,1026486,262591,40.887325,-73.847247,POINT (-73.847247 40.887325)
262984277,2023-02-03,105.0,STRANGULATION 1ST,106.0,FELONY ASSAULT,PL 1211200,F,M,30,0,25-44,M,BLACK HISPANIC,999653,238976,40.822599,-73.944344,POINT (-73.944344 40.822599)
266189008,2023-04-05,792.0,CRIMINAL POSSESSION WEAPON,118.0,DANGEROUS WEAPONS,PL 265031B,F,Q,105,0,25-44,M,BLACK,1056439,179735,40.65971345,-73.73981068,POINT (-73.73981068 40.65971345)
