DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201015602,12/01/2020 12:00:00 AM,12/01/2020 12:00:00 AM,840,10,West Valley,1023,2,888,TRESPASSING,1822 2004,0,M,W,149.0,RIVER BED*,,,IC,Invest Cont,888.0,,,,WILBUR,KITTRIDGE,34.1902,-118.5447
211708104,05/03/2021 12:00:00 AM,05/03/2021 12:00:00 AM,1400,17,Devonshire,1791,2,624,BATTERY - SIMPLE ASSAULT,1501 1309 1822,41,F,H,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,20100    ROSCOE                       BL,,34.2244,-118.5804
210210831,06/18/2021 12:00:00 AM,06/18/2021 12:00:00 AM,1800,2,Rampart,216,2,664,"BUNCO, PETTY THEFT",0701,38,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,664.0,,,,400 N  CORONADO                     ST,,34.0732,-118.2728
220319952,10/03/2022 12:00:00 AM,10/02/2022 12:00:00 AM,2030,3,Southwest,328,1,352,PICKPOCKET,0344 1822,22,F,H,733.0,BAR/SPORTS BAR (OPEN DAY & NIGHT),,,IC,Invest Cont,352.0,,,,600 W  JEFFERSON                    BL,,34.0225,-118.2812
201013983,10/12/2020 12:00:00 AM,10/12/2020 12:00:00 AM,1540,10,West Valley,1045,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416 0913 1814 0448,30,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,17800    BURBANK                      BL,,34.1722,-118.5206
220811959,07/11/2022 12:00:00 AM,07/11/2022 12:00:00 AM,1245,8,West LA,817,1,350,"THEFT, PERSON",1008 1019 1822 0344 0216,66,M,B,102.0,SIDEWALK,,,IC,Invest Cont,350.0,,,,1000    WESTWOOD                     BL,,34.0626,-118.4453
231417697,09/23/2023 12:00:00 AM,09/23/2023 12:00:00 AM,1030,14,Pacific,1413,2,624,BATTERY - SIMPLE ASSAULT,0416,60,M,W,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1200    ABBOT KINNEY                 BL,,33.9956,-118.4722
201318591,10/17/2020 12:00:00 AM,10/07/2020 12:00:00 AM,1000,13,Newton,1381,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,61ST                         ST,BROADWAY,33.9842,-118.2783
220917843,12/30/2022 12:00:00 AM,12/28/2022 12:00:00 AM,600,9,Van Nuys,916,2,354,THEFT OF IDENTITY,1817 1814 0929 0935,37,F,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,13800    VANOWEN                      ST,,34.1976,-118.4356
201606017,02/18/2020 12:00:00 AM,02/18/2020 12:00:00 AM,1630,16,Foothill,1641,1,210,ROBBERY,0418 0344 0302 1402,23,M,H,108.0,PARKING LOT,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,210.0,910.0,998.0,,10000    LAUREL CANYON                BL,,34.2519,-118.4248
211115119,11/08/2021 12:00:00 AM,11/08/2021 12:00:00 AM,800,11,Northeast,1171,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1608 1609 0349,88,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,1400    WESTERLY                     TR,,34.0917,-118.2741
222106261,03/01/2022 12:00:00 AM,03/01/2022 12:00:00 AM,1315,21,Topanga,2158,1,210,ROBBERY,1822 0416 0344 0916,34,M,W,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,6400    CANOGA                       AV,,34.1867,-118.5974
211714851,11/07/2021 12:00:00 AM,11/07/2021 12:00:00 AM,950,17,Devonshire,1796,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0514 0500 1814 0913 1906 0911,22,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956.0,,,,16800    PARTHENIA                    ST,,34.2285,-118.4983
221512201,07/12/2022 12:00:00 AM,06/24/2022 12:00:00 AM,1425,15,N Hollywood,1526,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,203.0,OTHER BUSINESS,,,AA,Adult Arrest,668.0,,,,11600    VICTORY                      BL,,34.1867,-118.3851
211512131,07/20/2021 12:00:00 AM,07/20/2021 12:00:00 AM,1150,15,N Hollywood,1526,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,46,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,745.0,,,,11600    FRIAR                        ST,,34.1858,-118.3846
220320943,11/29/2022 12:00:00 AM,11/29/2022 12:00:00 AM,445,3,Southwest,393,1,320,"BURGLARY, ATTEMPTED",0329 1822 1609,21,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,320.0,,,,4200    CRENSHAW                     BL,,34.0084,-118.3351
220208643,04/04/2022 12:00:00 AM,04/02/2022 12:00:00 AM,1300,2,Rampart,247,2,354,THEFT OF IDENTITY,0100,26,F,B,605.0,AUTOMATED TELLER MACHINE (ATM),,,IC,Invest Cont,354.0,,,,400 S  UNION                        AV,,34.0596,-118.2701
211812558,06/24/2021 12:00:00 AM,06/24/2021 12:00:00 AM,700,18,Southeast,1891,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,X,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740.0,,,,800 W  165TH                        PL,,33.8807,-118.2902
221605593,02/19/2022 12:00:00 AM,02/18/2022 12:00:00 AM,1700,16,Foothill,1668,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,34,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,7500    VALAHO                       DR,,34.252,-118.2956
200110556,04/16/2020 12:00:00 AM,04/16/2020 12:00:00 AM,355,1,Central,176,1,210,ROBBERY,1218 0411 1822,34,M,W,101.0,STREET,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,210.0,,,,9TH                          ST,WALL,34.0387,-118.2519
220411187,07/23/2022 12:00:00 AM,07/22/2022 12:00:00 AM,1,4,Hollenbeck,466,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,71,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,2900    NEW JERSEY                   ST,,34.0433,-118.2022
200120137,10/28/2020 12:00:00 AM,10/28/2020 12:00:00 AM,1800,1,Central,163,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,M,W,405.0,CLOTHING STORE,,,IC,Invest Cont,740.0,,,,800 S  BROADWAY,,34.0434,-118.255
230209236,04/18/2023 12:00:00 AM,04/18/2023 12:00:00 AM,2300,2,Rampart,221,2,888,TRESPASSING,2004 0910 2052 1501,0,X,X,906.0,MTA - RED LINE - VERMONT/BEVERLY,515.0,PHYSICAL PRESENCE,IC,Invest Cont,888.0,,,,300 N  VERMONT                      AV,,34.0777,-118.2961
220211184,05/31/2022 12:00:00 AM,05/16/2022 12:00:00 AM,1700,2,Rampart,211,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1202 0334 0445 0913 1810,63,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",312.0,PIPE/METAL PIPE,AA,Adult Arrest,230.0,,,,500 N  ALEXANDRIA                   AV,,34.079,-118.2981
211110506,07/07/2021 12:00:00 AM,07/07/2021 12:00:00 AM,125,11,Northeast,1135,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1307 1822 1310 1100 0906,56,M,W,109.0,PARK/PLAYGROUND,106.0,UNKNOWN FIREARM,IC,Invest Cont,230.0,,,,3600    VERDUGO                      RD,,34.116,-118.2339
200805397,01/31/2020 12:00:00 AM,01/31/2020 12:00:00 AM,1040,8,West LA,835,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1420 1202 0342 0344 1822,73,F,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,1800 S  SEPULVEDA                    BL,,34.0459,-118.4428
230106523,02/07/2023 12:00:00 AM,02/07/2023 12:00:00 AM,1515,1,Central,156,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 2004 0416 0447 1822,55,M,B,102.0,SIDEWALK,212.0,BOTTLE,IC,Invest Cont,230.0,,,,6TH,SAN PEDRO,34.0423,-118.2453
221813962,07/09/2022 12:00:00 AM,07/08/2022 12:00:00 AM,1457,18,Southeast,1849,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1813 0400 0416 0446 0432,40,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,2000 E  115TH                        ST,,33.9305,-118.2363
210121901,12/09/2021 12:00:00 AM,12/09/2021 12:00:00 AM,2105,1,Central,159,1,330,BURGLARY FROM VEHICLE,0344 1307 1609 1822 0329 0386 0352,23,F,H,710.0,OTHER PREMISE,,,IC,Invest Cont,330.0,,,,6TH                          ST,MATEO                        ST,34.0383,-118.2327
200407677,04/09/2020 12:00:00 AM,04/09/2020 12:00:00 AM,220,4,Hollenbeck,479,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0561 0400 0445,58,F,H,501.0,SINGLE FAMILY DWELLING,207.0,OTHER KNIFE,AA,Adult Arrest,230.0,,,,3500    SISKIYOU                     ST,,34.0256,-118.1992
220406849,03/26/2022 12:00:00 AM,03/24/2022 12:00:00 AM,840,4,Hollenbeck,415,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,2900    WORKMAN                      ST,,34.0779,-118.2145
220711038,06/28/2022 12:00:00 AM,06/28/2022 12:00:00 AM,1100,7,Wilshire,787,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,48,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,2000    WELLINGTON                   RD,,34.0381,-118.3348
231405166,12/31/2022 12:00:00 AM,12/31/2022 12:00:00 AM,1830,14,Pacific,1409,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,72,F,B,707.0,GARAGE/CARPORT,,,IC,Invest Cont,740.0,,,,9800    HANNUM                       DR,,34.0278,-118.4003
221411091,05/18/2022 12:00:00 AM,05/18/2022 12:00:00 AM,2330,14,Pacific,1443,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1814 0913 2000 0400 0416 1218 2004,26,F,O,505.0,MOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,2400    LINCOLN                      BL,,33.9939,-118.4524
211707951,04/29/2021 12:00:00 AM,04/29/2021 12:00:00 AM,1240,17,Devonshire,1771,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 2004,29,M,H,213.0,WAREHOUSE,,,IC,Invest Cont,745.0,,,,20500    PRAIRIE                      ST,,34.2391,-118.5798
210606086,02/19/2021 12:00:00 AM,02/19/2021 12:00:00 AM,1630,6,Hollywood,622,1,330,BURGLARY FROM VEHICLE,1300 1307 1601 1609 0329 0344 0377 1822,41,F,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,LAUREL CANYON,MULHOLLAND,34.1236,-118.3754
221114059,09/18/2022 12:00:00 AM,09/18/2022 12:00:00 AM,2010,11,Northeast,1183,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1202 0500 0515 0522 0400 0442 0448 0416 0446 0540,61,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,815.0,998.0,,,GLENDALE                     BL,BERKELEY                     AV,34.0834,-118.2599
200817088,12/02/2020 12:00:00 AM,11/05/2020 12:00:00 AM,5,8,West LA,829,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0394 1822,39,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,1600    PANDORA                      AV,,34.0586,-118.4261
230119650,09/11/2023 12:00:00 AM,08/19/2023 12:00:00 AM,1730,1,Central,135,1,330,BURGLARY FROM VEHICLE,1307 0344 0329 1609 0930,51,M,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,3RD,MAIN,34.0495,-118.2459
212117368,12/09/2021 12:00:00 AM,12/08/2021 12:00:00 AM,1300,21,Topanga,2187,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,36,M,B,108.0,PARKING LOT,,,IC,Invest Cont,341.0,,,,21900    VENTURA                      BL,,34.1685,-118.6038
220718314,12/28/2022 12:00:00 AM,12/28/2022 12:00:00 AM,1030,7,Wilshire,766,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 1309 0416,14,F,H,108.0,PARKING LOT,307.0,VEHICLE,IC,Invest Cont,230.0,,,,4200 W  PICO                         BL,,34.0478,-118.3267
231504491,01/12/2023 12:00:00 AM,01/12/2023 12:00:00 AM,545,15,N Hollywood,1543,1,330,BURGLARY FROM VEHICLE,1300 0344,43,M,O,101.0,STREET,,,IC,Invest Cont,330.0,,,,5200    BELLINGHAM                   AV,,34.1649,-118.3993
231304756,01/15/2023 12:00:00 AM,01/15/2023 12:00:00 AM,2000,13,Newton,1365,2,901,VIOLATION OF RESTRAINING ORDER,0913 2000 2038,22,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901.0,,,,1400 E  53RD                         ST,,33.9994,-118.2499
210609926,05/18/2021 12:00:00 AM,05/15/2021 12:00:00 AM,1150,6,Hollywood,656,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1501 1300,28,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,GOWER,WILLOUGHBY,0.0,0.0
230712756,07/31/2023 12:00:00 AM,07/14/2023 12:00:00 AM,200,7,Wilshire,745,2,354,THEFT OF IDENTITY,0922,0,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,1000 S  COCHRAN                      AV,,34.0573,-118.3491
220212967,07/07/2022 12:00:00 AM,07/06/2022 12:00:00 AM,1935,2,Rampart,246,2,624,BATTERY - SIMPLE ASSAULT,1309 0416 0446 0417 0913 0602 0554 2001,26,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,400 S  WESTLAKE                     AV,,34.0608,-118.2726
200808440,04/19/2020 12:00:00 AM,04/08/2020 12:00:00 AM,1600,8,West LA,816,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,600    KELTON                       AV,,34.0665,-118.4534
231610083,07/13/2023 12:00:00 AM,07/13/2023 12:00:00 AM,1652,16,Foothill,1653,2,901,VIOLATION OF RESTRAINING ORDER,2038 0913,40,F,H,726.0,POLICE FACILITY,,,IC,Invest Cont,901.0,,,,12700    OSBORNE                      ST,,34.2542,-118.4095
221215485,07/10/2022 12:00:00 AM,07/10/2022 12:00:00 AM,2300,12,77th Street,1256,1,310,BURGLARY,1501 1822,53,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,600 W  75TH                         ST,,33.9717,-118.2844
211820114,11/16/2021 12:00:00 AM,11/16/2021 12:00:00 AM,2000,18,Southeast,1881,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0432 1309 1310,34,M,H,101.0,STREET,307.0,VEHICLE,IC,Invest Cont,230.0,,,,HOOVER                       ST,ALONDRA                      BL,33.8854,-118.2871
201014316,10/21/2020 12:00:00 AM,06/17/2020 12:00:00 AM,1300,10,West Valley,1025,2,354,THEFT OF IDENTITY,1822 0935 0930 0929 0922 0917,27,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,7000    CHIMINEAS                    AV,,34.1975,-118.5284
230309246,04/12/2023 12:00:00 AM,04/12/2023 12:00:00 AM,930,3,Southwest,395,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,203.0,OTHER BUSINESS,,,IC,Invest Cont,668.0,,,,4100 S  WESTERN                      AV,,34.0099,-118.3089
211714173,09/25/2021 12:00:00 AM,09/01/2021 12:00:00 AM,1405,17,Devonshire,1717,2,354,THEFT OF IDENTITY,0100 0917,27,F,W,751.0,WEBSITE,,,IC,Invest Cont,354.0,,,,16500    MCKEEVER                     ST,,34.2747,-118.491
220818274,12/18/2022 12:00:00 AM,12/17/2022 12:00:00 AM,2000,8,West LA,887,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,9200    MONTE MAR                    DR,,34.0475,-118.3899
231406108,02/21/2023 12:00:00 AM,01/01/2023 12:00:00 AM,1200,14,Pacific,1445,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300,76,M,W,101.0,STREET,,,IC,Invest Cont,331.0,,,,12400    MATTESON                     AV,,34.0022,-118.4324
210408776,05/17/2021 12:00:00 AM,05/16/2021 12:00:00 AM,2130,4,Hollenbeck,489,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0913 1814 0408,30,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236.0,,,,2800    CAMULOS                      PL,,34.0255,-118.2161
231307065,03/01/2023 12:00:00 AM,02/24/2023 12:00:00 AM,1200,13,Newton,1394,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,100 E  FLORENCE                     AV,,33.9786,-118.2717
221312225,06/02/2022 12:00:00 AM,06/02/2022 12:00:00 AM,1200,13,Newton,1377,2,354,THEFT OF IDENTITY,0100 0930 1822,39,F,B,750.0,CYBERSPACE,,,IC,Invest Cont,354.0,,,,5400    FORTUNA                      ST,,33.9939,-118.2456
221813989,07/08/2022 12:00:00 AM,07/03/2022 12:00:00 AM,17,18,Southeast,1834,2,354,THEFT OF IDENTITY,0100 1822 0935 0922,20,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,800 E  106TH                        ST,,33.9401,-118.2609
220604594,01/15/2022 12:00:00 AM,01/15/2022 12:00:00 AM,315,6,Hollywood,643,1,210,ROBBERY,0302 0355 0344,30,M,B,101.0,STREET,101.0,REVOLVER,IC,Invest Cont,210.0,,,,SUNSET,FORMOSA,34.098,-118.3462
221512717,07/25/2022 12:00:00 AM,07/24/2022 12:00:00 AM,1300,15,N Hollywood,1541,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,5300    BABCOCK                      AV,,34.1669,-118.4064
211518150,12/01/2021 12:00:00 AM,12/01/2021 12:00:00 AM,1215,15,N Hollywood,1555,1,210,ROBBERY,1402 1822 2004 0400 0344 0444,25,F,W,104.0,DRIVEWAY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210.0,998.0,,,11200    HUSTON                       ST,,34.1599,-118.3758
200908449,04/15/2020 12:00:00 AM,04/15/2020 12:00:00 AM,30,9,Van Nuys,909,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1243 0400,50,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,13600    RUNNYMEDE                    ST,,34.2062,-118.4299
